ticket_id,customer_id,customer_name,email,issue_category,channel,resolution,response_time_hrs,timestamp
T00001,C1363,Dakota Johnson,dakota.johnson@example.com,Shipping,Phone,Resolved,60.56,27-12-2023 00:00
T00002,C1151,Morgan Brown,morgan.brown@example.com,Shipping,Email,Resolved,6.63,14-09-2023 00:00
T00003,C1525,Casey Smith,casey.smith@example.com,Technical,Phone,Escalated,4.2,09-12-2023 00:00
T00004,C1283,Chris Clark,chris.clark@example.com,Account Access,Chat,Escalated,64.38,04-04-2023 00:00
T00005,C1199,Morgan Johnson,morgan.johnson@example.com,Billing,Social Media,Resolved,57.32,28-09-2023 00:00
T00006,C1079,Skyler Lee,skyler.lee@example.com,Account Access,Social Media,Unresolved,56.39,03-11-2023 00:00
T00007,C1000,Dakota Brown,dakota.brown@example.com,Product Inquiry,Social Media,Unresolved,42.93,05-11-2023 00:00
T00008,C1056,Taylor Martin,taylor.martin@example.com,Returns,Chat,Escalated,10.01,17-01-2023 00:00
T00009,C1455,Casey Martin,casey.martin@example.com,Technical,Phone,Pending,71.26,03-01-2023 00:00
T00010,C1182,Skyler Garcia,skyler.garcia@example.com,Shipping,Email,Pending,17.38,13-05-2023 00:00
T00011,C1445,Alex Clark,alex.clark@example.com,Product Inquiry,Phone,Escalated,55.01,31-08-2023 00:00
T00012,C1336,Dakota Taylor,dakota.taylor@example.com,Billing,Email,Pending,56.36,24-01-2023 00:00
T00013,C1618,Skyler Clark,skyler.clark@example.com,Shipping,Phone,Resolved,1.41,06-10-2023 00:00
T00014,C1800,Morgan Smith,morgan.smith@example.com,Account Access,Social Media,Resolved,32.33,10-01-2023 00:00
T00015,C1717,Dakota Brown,dakota.brown@example.com,Product Inquiry,Social Media,Unresolved,62.82,17-12-2023 00:00
T00016,C1242,Jordan Garcia,jordan.garcia@example.com,Returns,Email,Unresolved,58.39,23-07-2023 00:00
T00017,C1058,Riley White,riley.white@example.com,Returns,Social Media,Resolved,56.37,02-01-2023 00:00
T00018,C1575,Jamie White,jamie.white@example.com,Billing,Email,Unresolved,30.5,08-01-2023 00:00
T00019,C1767,Jordan Brown,jordan.brown@example.com,Technical,Phone,Pending,32.86,31-01-2023 00:00
T00020,C1135,Jamie Johnson,jamie.johnson@example.com,Returns,Social Media,Escalated,26.37,30-10-2023 00:00
T00021,C1291,Morgan Taylor,morgan.taylor@example.com,Account Access,Phone,Unresolved,19.89,09-04-2023 00:00
T00022,C1042,Casey Smith,casey.smith@example.com,Product Inquiry,Phone,Resolved,12.27,11-02-2023 00:00
T00023,C1127,Jordan Anderson,jordan.anderson@example.com,Billing,Chat,Escalated,8.91,16-12-2023 00:00
T00024,C1354,Jordan Smith,jordan.smith@example.com,Returns,Email,Pending,70.04,19-07-2023 00:00
T00025,C1282,Jamie Smith,jamie.smith@example.com,Billing,Email,Unresolved,44.3,13-10-2023 00:00
T00026,C1852,Riley Garcia,riley.garcia@example.com,Shipping,Email,Unresolved,70.44,04-12-2023 00:00
T00027,C1836,Taylor Brown,taylor.brown@example.com,Billing,Email,Resolved,64.16,29-06-2023 00:00
T00028,C1658,Jamie Johnson,jamie.johnson@example.com,Billing,Phone,Escalated,29.53,29-11-2023 00:00
T00029,C1505,Taylor Garcia,taylor.garcia@example.com,Shipping,Phone,Resolved,29.41,18-11-2023 00:00
T00030,C1018,Casey Anderson,casey.anderson@example.com,Returns,Chat,Pending,13.66,09-06-2023 00:00
T00031,C1642,Riley Brown,riley.brown@example.com,Returns,Email,Resolved,24.74,18-04-2023 00:00
T00032,C1557,Riley White,riley.white@example.com,Returns,Phone,Escalated,45.74,17-07-2023 00:00
T00033,C1579,Jordan Martin,jordan.martin@example.com,Product Inquiry,Phone,Unresolved,20.18,23-10-2023 00:00
T00034,C1046,Casey Garcia,casey.garcia@example.com,Technical,Email,Unresolved,40.58,30-11-2023 00:00
T00035,C1161,Dakota Johnson,dakota.johnson@example.com,Shipping,Phone,Pending,28.14,04-04-2023 00:00
T00036,C1709,Riley Martin,riley.martin@example.com,Shipping,Chat,Pending,27.18,05-09-2023 00:00
T00037,C1648,Alex Clark,alex.clark@example.com,Account Access,Phone,Resolved,25.49,27-11-2023 00:00
T00038,C1883,Jamie Brown,jamie.brown@example.com,Account Access,Chat,Pending,17.99,03-09-2023 00:00
T00039,C1903,Taylor Martin,taylor.martin@example.com,Billing,Email,Escalated,45.16,12-01-2023 00:00
T00040,C1771,Taylor Johnson,taylor.johnson@example.com,Shipping,Phone,Pending,47.34,15-04-2023 00:00
T00041,C1122,Riley Clark,riley.clark@example.com,Shipping,Email,Resolved,27.3,26-03-2023 00:00
T00042,C1210,Riley Lee,riley.lee@example.com,Returns,Chat,Unresolved,43.69,03-09-2023 00:00
T00043,C1503,Alex Lee,alex.lee@example.com,Technical,Email,Escalated,2.6,13-08-2023 00:00
T00044,C1719,Jordan Garcia,jordan.garcia@example.com,Shipping,Email,Escalated,71.29,07-12-2023 00:00
T00045,C1859,Chris Clark,chris.clark@example.com,Account Access,Social Media,Pending,5.48,22-12-2023 00:00
T00046,C1428,Dakota Martin,dakota.martin@example.com,Shipping,Email,Pending,31.53,09-08-2023 00:00
T00047,C1814,Jordan Lee,jordan.lee@example.com,Billing,Social Media,Unresolved,41.7,14-12-2023 00:00
T00048,C1853,Chris Anderson,chris.anderson@example.com,Technical,Email,Pending,24.73,31-05-2023 00:00
T00049,C1964,Morgan Clark,morgan.clark@example.com,Returns,Phone,Escalated,2.55,17-04-2023 00:00
T00050,C1603,Morgan Smith,morgan.smith@example.com,Technical,Chat,Escalated,1.22,09-09-2023 00:00
T00051,C1482,Riley Garcia,riley.garcia@example.com,Returns,Chat,Resolved,5.67,31-08-2023 00:00
T00052,C1412,Jamie Taylor,jamie.taylor@example.com,Returns,Phone,Pending,10.71,10-04-2023 00:00
T00053,C1188,Morgan White,morgan.white@example.com,Technical,Phone,Unresolved,47.42,23-04-2023 00:00
T00054,C1215,Skyler Garcia,skyler.garcia@example.com,Account Access,Phone,Escalated,5.29,01-12-2023 00:00
